,electricity,heat,pv,temp_air,ghi,dhi,wind_speed,pressure,temp_dew,h2_demand
2021-10-01 00:00:00+00:00,25.43032535293605,33.27628748839436,0.0,11.672727272727272,0.0,0.0,5.2209444370742375,101473.00000000004,6.850000000000001,2.5430325352936047
2021-10-01 00:15:00+00:00,26.547575199510906,33.498445805586584,0.0,11.663636363636364,0.0,0.0,5.310376189350523,101453.99999999996,6.790909089082738,2.6547575199510907
2021-10-01 00:30:00+00:00,21.684415032505058,33.60731809349511,0.0,11.613636363636363,0.0,0.0,5.196408536973186,101438.0,6.818181818181818,2.1684415032505058
2021-10-01 00:45:00+00:00,24.19403800618602,37.96463266397824,0.0,11.51818181818182,0.0,0.0,4.97274157953675,101414.0,6.854545454545455,2.419403800618602
2021-10-01 01:00:00+00:00,24.0,41.31180358161748,0.0,11.454545454545457,0.0,0.0,5.154336199089864,101403.99999999996,6.845454545454546,2.4
2021-10-01 01:15:00+00:00,19.97790055250516,45.30650384007173,0.0,11.436363636363634,0.0,0.0,5.416740853999538,101396.0,6.845454545454545,1.9977900552505161
2021-10-01 01:30:00+00:00,23.292817679524887,48.37512427431115,0.0,11.395454545454548,0.0,0.0,5.404903536507127,101386.00000000004,6.831818177046218,2.3292817679524886
2021-10-01 01:45:00+00:00,20.72162721073255,37.11006400736608,0.0,11.327272727272732,0.0,0.0,5.397413074614505,101376.0,6.772727272727274,2.072162721073255
2021-10-01 02:00:00+00:00,24.0,28.4173403367446,0.0,11.281818114242444,0.0,0.0,5.380556249843156,101368.99999999996,6.736363634385324,2.4
2021-10-01 02:15:00+00:00,20.0,28.399745269588134,0.0,11.236363636385244,0.0,0.0,5.377379691742638,101356.0,6.727272727272727,2.0
2021-10-01 02:30:00+00:00,23.985555109742563,28.38622921603076,0.0,11.159090909091,0.0,0.0,5.491254725106773,101338.0,6.654545454545455,2.3985555109742562
2021-10-01 02:45:00+00:00,23.248618784477003,29.50509954394954,0.0,11.036363636729895,0.0,0.0,5.262980402159213,101320.0,6.627272727272723,2.3248618784477
2021-10-01 03:00:00+00:00,20.707182320475116,30.36847979700211,0.0,11.06407188906639,0.0,0.0,5.04201752897534,101304.00000000004,6.636363636363639,2.0707182320475117
2021-10-01 03:15:00+00:00,23.97790055250516,39.35405138414046,0.0,10.963636437844825,0.0,0.0,4.995080304733658,101284.0,6.554545454545453,2.3977900552505163
2021-10-01 03:30:00+00:00,20.01370412664255,46.350721750407146,0.0,10.84029088181153,0.0,0.0,4.896417852507701,101281.00000000004,6.522727272639763,2.0013704126642553
2021-10-01 03:45:00+00:00,19.9776536313002,45.59535881381875,0.0,10.712353399387052,0.0,0.0,4.758774859777922,101276.0,6.5181818181818185,1.99776536313002
2021-10-01 04:00:00+00:00,19.986542794504203,45.00185936364382,0.0,10.84090909090937,0.0,0.0,5.18928439029628,101267.0,6.463636203557706,1.9986542794504203
2021-10-01 04:15:00+00:00,20.0134572054958,34.92995274885685,0.0,10.890909090909092,0.0,0.0,5.206889153258802,101258.0,6.50909090909091,2.00134572054958
2021-10-01 04:30:00+00:00,20.00434512726497,27.016311837224407,0.0,10.931818181818183,0.0,0.0,5.139293720074683,101247.0,6.486363636352389,2.000434512726497
2021-10-01 04:45:00+00:00,19.97330850403523,30.354940585861755,0.0,10.954545454545457,0.0,0.0,5.124080405200031,101240.0,6.472726877234639,1.997330850403523
2021-10-01 05:00:00+00:00,23.986789715709165,32.966343270420666,0.0,11.124623022276,0.0,0.0,5.160000019364023,101230.0,6.463636363636364,2.3986789715709165
