time,electricity demand (W),heat demand (W),PV (W/Wp)
2025-01-01 01:00:00+01:00,95.98333333333333,541.6822492097307,0.0
2025-01-01 02:00:00+01:00,97.11666666666666,534.6377137072534,0.0
2025-01-01 03:00:00+01:00,102.5,559.0255652416466,0.0
2025-01-01 04:00:00+01:00,96.33333333333333,642.618173128248,0.0
2025-01-01 05:00:00+01:00,95.03333333333333,869.8855758199456,0.0
2025-01-01 06:00:00+01:00,94.93333333333334,1285.236346256496,0.0
2025-01-01 07:00:00+01:00,95.43333333333334,1627.4435847922703,0.0
2025-01-01 08:00:00+01:00,95.81666666666666,1507.2792109552809,0.0
2025-01-01 09:00:00+01:00,96.55,1374.0534921360102,5.833333333333333
2025-01-01 10:00:00+01:00,164.41666666666666,1266.950463281302,17.313793103448276
2025-01-01 11:00:00+01:00,143.85,1172.9087794088753,23.04252873563218
2025-01-01 12:00:00+01:00,82.28333333333333,1128.5002064691187,72.41954022988506
2025-01-01 13:00:00+01:00,100.73333333333333,1110.2143234939247,84.38735632183908
2025-01-01 14:00:00+01:00,187.66666666666666,1110.2143234939247,61.47241379310345
2025-01-01 15:00:00+01:00,139.01666666666668,1144.1738204478563,102.2816091954023
2025-01-01 16:00:00+01:00,138.25,1201.643738369895,2.0551724137931036
2025-01-01 17:00:00+01:00,144.75,1259.1136562919332,0.0
2025-01-01 18:00:00+01:00,149.46666666666667,1337.4817261856222,0.0
2025-01-01 19:00:00+01:00,266.68333333333334,1371.4412231395536,0.0
2025-01-01 20:00:00+01:00,127.15,1374.0534921360102,0.0
2025-01-01 21:00:00+01:00,123.68333333333334,1306.1344982281466,0.0
2025-01-01 22:00:00+01:00,99.13333333333334,1123.275668476206,0.0
2025-01-01 23:00:00+01:00,100.71666666666667,752.3334709794124,0.0
2025-01-02 00:00:00+01:00,100.16666666666667,564.2501032345593,0.0
2025-01-02 01:00:00+01:00,102.1,766.2657484178675,0.0
2025-01-02 02:00:00+01:00,99.66666666666667,848.5564629863511,0.0
2025-01-02 03:00:00+01:00,87.85,881.1689623408289,0.0
2025-01-02 04:00:00+01:00,96.15,950.9281718594776,0.0
2025-01-02 05:00:00+01:00,96.4,1163.8773377585114,0.0
2025-01-02 06:00:00+01:00,95.28333333333333,1677.8925657906614,0.0
2025-01-02 07:00:00+01:00,94.55,2111.1339722749026,0.0
2025-01-02 08:00:00+01:00,94.98333333333333,1982.6301652668649,3.2597701149425284
2025-01-02 09:00:00+01:00,94.71666666666667,1890.841731689695,160.43103448275863
2025-01-02 10:00:00+01:00,515.45,1799.0532981125257,446.29655172413794
2025-01-02 11:00:00+01:00,100.08333333333333,1703.5933271922688,587.9873563218391
2025-01-02 12:00:00+01:00,103.13333333333334,1644.8487297028803,624.6022988505748
2025-01-02 13:00:00+01:00,108.36666666666666,1611.8048936150992,583.6310344827585
2025-01-02 14:00:00+01:00,860.9666666666667,1619.1479683012728,468.2402298850575
2025-01-02 15:00:00+01:00,683.4666666666667,1648.5202670459673,237.3264367816092
2025-01-02 16:00:00+01:00,147.7,1703.5933271922688,5.364367816091955
2025-01-02 17:00:00+01:00,153.36666666666667,1773.352536710918,0.0
2025-01-02 18:00:00+01:00,152.33333333333334,1843.1117462295667,0.0
2025-01-02 19:00:00+01:00,223.06666666666666,1861.4694329450008,0.0
2025-01-02 20:00:00+01:00,114.9,1854.126358258827,0.0
2025-01-02 21:00:00+01:00,124.65,1766.0094620247442,0.0
2025-01-02 22:00:00+01:00,100.46666666666667,1560.4033708118843,0.0
2025-01-02 23:00:00+01:00,99.65,1101.461202926036,0.0
2025-01-03 00:00:00+01:00,94.01666666666667,881.1689623408289,0.0
2025-01-03 01:00:00+01:00,94.16666666666667,1079.4350150244327,0.0
2025-01-03 02:00:00+01:00,97.95,1217.411183960355,0.0
2025-01-03 03:00:00+01:00,99.85,1262.497604755058,0.0
2025-01-03 04:00:00+01:00,93.78333333333333,1337.0362087258363,0.0
2025-01-03 05:00:00+01:00,94.15,1574.628008882692,0.0
2025-01-03 06:00:00+01:00,96.75,2045.1529464482308,0.0
2025-01-03 07:00:00+01:00,97.68333333333334,2538.971197754637,0.0
2025-01-03 08:00:00+01:00,98.7,2371.2593388203863,0.2471264367816092
2025-01-03 09:00:00+01:00,115.11666666666666,2338.64869958317,15.971264367816092
2025-01-03 10:00:00+01:00,568.7166666666667,2264.110095612392,64.91954022988506
2025-01-03 11:00:00+01:00,103.55,2180.2541661452665,61.808045977011496
2025-01-03 12:00:00+01:00,94.03333333333333,2087.0809111817935,61.55862068965517
2025-01-03 13:00:00+01:00,100.51666666666667,2054.4702719445777,63.15172413793103
2025-01-03 14:00:00+01:00,99.53333333333333,2045.1529464482308,108.04942528735633
2025-01-03 15:00:00+01:00,193.36666666666667,2105.715562174488,35.764367816091955
2025-01-03 16:00:00+01:00,144.56666666666666,2152.3021896562245,3.560919540229885
2025-01-03 17:00:00+01:00,157.31666666666666,2254.7927701160447,0.0
2025-01-03 18:00:00+01:00,156.31666666666666,2282.744746605086,0.0
2025-01-03 19:00:00+01:00,237.95,2292.0620721014343,0.0
2025-01-03 20:00:00+01:00,118.8,2254.7927701160447,0.0
2025-01-03 21:00:00+01:00,120.25,2152.3021896562245,0.0
2025-01-03 22:00:00+01:00,98.6,1905.393064003021,0.0
2025-01-03 23:00:00+01:00,94.65,1444.18545193383,0.0
2025-01-04 00:00:00+01:00,94.35,1234.5456282660164,0.0
2025-01-04 01:00:00+01:00,92.58333333333333,934.3611213086816,0.0
2025-01-04 02:00:00+01:00,99.21666666666667,905.4928577479619,0.0
2025-01-04 03:00:00+01:00,111.66666666666667,934.1127080821692,0.0
2025-01-04 04:00:00+01:00,95.91666666666667,1008.0632974720077,0.0
2025-01-04 05:00:00+01:00,93.66666666666667,1233.8072019251983,0.0
2025-01-04 06:00:00+01:00,79.1,1778.706281639797,0.0
2025-01-04 07:00:00+01:00,97.61666666666666,2237.9783631135306,0.0
2025-01-04 08:00:00+01:00,93.98333333333333,2101.75359318488,0.603448275862069
2025-01-04 09:00:00+01:00,146.91666666666666,2004.450186092988,8.210344827586207
2025-01-04 10:00:00+01:00,600.3333333333334,1907.1467790010952,24.017241379310345
2025-01-04 11:00:00+01:00,103.26666666666667,1805.951235625527,48.8448275862069
2025-01-04 12:00:00+01:00,99.38333333333334,1743.6770550867159,34.48390804597702
2025-01-04 13:00:00+01:00,102.8,1708.6478285336343,37.54252873563219
2025-01-04 14:00:00+01:00,144.28333333333333,1716.4321011009858,18.074712643678158
2025-01-04 15:00:00+01:00,181.15,1747.5691913703918,18.116091954022988
2025-01-04 16:00:00+01:00,140.41666666666666,1805.951235625527,1.4758620689655173
2025-01-04 17:00:00+01:00,150.4,1879.9018250153656,0.0
2025-01-04 18:00:00+01:00,149.13333333333333,1953.8524144052037,0.0
2025-01-04 19:00:00+01:00,219.45,1973.313095823582,0.0
2025-01-04 20:00:00+01:00,138.11666666666667,1965.528823256231,0.0
2025-01-04 21:00:00+01:00,118.98333333333333,1872.1175524480138,0.0
2025-01-04 22:00:00+01:00,82.5,1654.157920562175,0.0
2025-01-04 23:00:00+01:00,95.38333333333334,1167.6408851027113,0.0
2025-01-05 00:00:00+01:00,96.66666666666667,934.1127080821692,0.0
2025-01-05 01:00:00+01:00,94.3,591.1665186814739,0.0
2025-01-05 02:00:00+01:00,96.91666666666667,499.22926584087594,0.0
2025-01-05 03:00:00+01:00,104.96666666666667,519.6272607864682,0.0
2025-01-05 04:00:00+01:00,100.25,597.3285334274356,0.0
2025-01-05 05:00:00+01:00,101.36666666666666,808.5788684200653,0.0
2025-01-05 06:00:00+01:00,98.91666666666667,1194.6570668548711,0.0
2025-01-05 07:00:00+01:00,96.38333333333334,1512.7466517288306,0.0
2025-01-05 08:00:00+01:00,93.83333333333333,1401.0510723074403,0.0
2025-01-05 09:00:00+01:00,94.01666666666667,1277.2146690358989,4.097701149425287
2025-01-05 10:00:00+01:00,550.1666666666666,1177.6599134646594,16.742528735632185
2025-01-05 11:00:00+01:00,96.65,1090.2459817435715,32.214942528735634
2025-01-05 12:00:00+01:00,97.7,1048.9671806530575,31.50344827586207
2025-01-05 13:00:00+01:00,125.43333333333334,1031.9700272628459,42.42068965517241
2025-01-05 14:00:00+01:00,177.06666666666666,1031.9700272628459,48.86206896551724
2025-01-05 15:00:00+01:00,263.8,1063.5361692732388,20.851724137931036
2025-01-05 16:00:00+01:00,147.91666666666666,1116.9557942139036,2.52183908045977
2025-01-05 17:00:00+01:00,170.88333333333333,1170.375419154569,0.0
2025-01-05 18:00:00+01:00,157.41666666666666,1243.2203622554757,0.0
2025-01-05 19:00:00+01:00,241.38333333333333,1274.7865042658684,0.0
2025-01-05 20:00:00+01:00,120.58333333333333,1277.2146690358989,0.0
2025-01-05 21:00:00+01:00,122.95,1214.0823850151128,0.0
2025-01-05 22:00:00+01:00,106.06666666666666,1044.110851112997,0.0
2025-01-05 23:00:00+01:00,106.75,699.311453768705,0.0
2025-01-06 00:00:00+01:00,94.58333333333333,524.4835903265288,0.0
2025-01-06 01:00:00+01:00,98.76666666666667,499.35921952854676,0.0
2025-01-06 02:00:00+01:00,97.63333333333334,536.2255370418703,0.0
2025-01-06 03:00:00+01:00,100.63333333333334,563.0965619950537,0.0
2025-01-06 04:00:00+01:00,84.28333333333333,647.2979170597345,0.0
2025-01-06 05:00:00+01:00,83.6,876.220351141836,0.0
2025-01-06 06:00:00+01:00,95.56666666666666,1294.595834119469,0.0
2025-01-06 07:00:00+01:00,99.81666666666666,1639.2951314155066,0.0
2025-01-06 08:00:00+01:00,98.86666666666666,1518.2556835100281,0.6505747126436782
2025-01-06 09:00:00+01:00,99.51666666666667,1384.0597738756928,20.683908045977013
2025-01-06 10:00:00+01:00,197.15,1276.1767876990702,45.10114942528735
2025-01-06 11:00:00+01:00,100.33333333333333,1181.4502632513045,68.68620689655172
2025-01-06 12:00:00+01:00,110.56666666666666,1136.7182933731924,73.96666666666667
2025-01-06 13:00:00+01:00,733.0166666666667,1118.2992469527937,34.94137931034483
