TIME     ;ta (°C);Ghoris (W/m2;Gbn (W(m2);w10 (m/s);EL (W/m2)
1;9,5;0;0;3,4;317
2;9,2;0;0;3,6;322
3;9;0;0;3,4;320
4;8,9;0;0;3,3;319
5;8,8;0;0;3,1;318
6;8,7;0;0;2,9;318
7;8,8;0;0;2,8;319
8;8,8;1;0;2,6;319
9;8,9;38;0;2,8;320
10;9,1;111;8;2,9;321
11;9,2;174;30;3,1;322
12;9,5;190;5;3,3;323
13;9,9;174;2;3,4;325
14;10,2;135;0;3,6;327
15;10,1;130;0;3,1;319
16;9,9;94;0;2,6;313
17;9,8;34;0;2,1;309
18;9,4;1;0;1,4;304
19;9;0;0;0,7;300
20;8,6;0;0;0;294
21;8,4;0;0;0;293
22;8,3;0;0;0;292
23;8,1;0;0;0;291
24;7,9;0;0;0;291
25;7,8;0;0;0;286
26;7,6;0;0;0;285
27;7,4;0;0;0,4;285
28;7,3;0;0;0,7;284
29;7,1;0;0;1;283
30;6,9;0;0;1,4;282
31;6,8;0;0;1,7;282
32;6,6;1;0;2,1;281
33;8,4;24;0;1,4;289
34;10,2;71;0;0,7;296
35;12;111;0;0;304
36;12,2;164;1;0;313
37;12,4;202;5;0;320
38;12,6;213;9;0;324
39;12,4;170;29;0;321
40;12,2;107;10;0;316
41;12;34;0;0;308
42;12,1;1;0;0,9;318
43;12,1;0;0;1,7;324
44;12,2;0;0;2,6;340
45;11,7;0;0;1,7;322
46;11,1;0;0;0,9;314
47;10,6;0;0;0;302
48;11,2;0;0;1,4;309
49;11,8;0;0;2,7;312
50;12,4;0;0;4,1;315
51;12,6;0;0;4,6;319
52;12,9;0;0;5,1;323
53;13,1;0;0;5,7;324
54;13,3;0;0;6,2;328
55;13,6;0;0;6,7;332
56;13,8;1;0;7,2;334
57;13,7;24;0;7,9;338
58;13,5;70;0;8,6;338
59;13,4;109;0;9,3;339
60;13,2;162;2;8,4;342
61;13;200;5;7,6;341
62;12,8;212;9;6,7;346
63;12,5;215;110;6;337
64;12,1;160;125;5,3;330
65;11,8;59;65;4,6;324
66;11,5;2;0;4;320
67;11,1;0;0;3,3;315
68;10,8;0;0;2,6;308
69;11,7;0;0;2,9;319
70;12,5;0;0;3,3;328
71;13,4;0;0;3,6;337
72;13,5;0;0;3,4;334
73;13,7;0;0;3,3;330
74;13,8;0;0;3,1;324
75;13,4;0;0;2,9;326
76;13;0;0;2,8;324
77;12,6;0;0;2,6;322
78;12,2;0;0;2,4;320
79;11,8;0;0;2,3;320
80;11,4;2;0;2,1;318
81;12,1;59;82;2,2;321
82;12,7;173;154;2,3;327
83;13,4;271;251;2,3;330
84;14,1;335;265;2,4;333
85;14,7;356;269;2,5;339
86;15,4;334;265;2,6;343
87;14,6;269;251;3,8;338
88;13,8;170;158;5;331
89;13;57;50;6,2;326
90;12,8;1;0;5,7;328
91;12,6;0;0;5,1;330
92;12,4;0;0;4,6;342
93;12,5;0;0;4,8;334
94;12,5;0;0;4,9;334
95;12,6;0;0;5,1;328
96;12,2;0;0;5,6;332
97;11,8;0;0;6,2;331
98;11,4;0;0;6,7;336
99;11,3;0;0;6,7;336
100;11,3;0;0;6,7;336
101;11,2;0;0;6,7;335
102;11,4;0;0;7,2;337
103;11,6;0;0;7,7;338
104;11,8;1;0;8,2;340
105;11,6;38;0;7,9;338
106;11,4;111;8;7,5;337
107;11,2;174;29;7,2;336
108;11,2;191;5;7,5;336
109;11,2;175;2;7,9;335
110;11,2;137;0;8,2;335
111;11,1;133;0;8,4;334
112;11,1;98;0;8,5;334
113;11;38;0;8,7;333
114;10,7;1;0;8,5;331
115;10,5;0;0;8,4;329
116;10,2;0;0;8,2;327
117;10,2;0;0;7,9;320
118;10,1;0;0;7,5;320
119;10,1;0;0;7,2;314
120;10,1;0;0;6,9;314
121;10;0;0;6,5;314
122;10;0;0;6,2;310
123;10;0;0;6;313
124;10;0;0;5,9;313
125;10;0;0;5,7;313
126;10;0;0;5,5;313
127;10;0;0;5,3;314
128;10;2;0;5,1;310
129;10,7;66;142;6,1;311
130;11,3;206;409;7,2;313
131;12;340;569;8,2;313
132;12,6;421;663;8,4;316
133;13,2;449;677;8,5;316
134;13,8;422;664;8,7;319
135;13,3;349;651;8,2;316
136;12,7;227;531;7,7;314
137;12,2;79;275;7,2;308
138;11,5;3;0;5,5;306
139;10,7;0;0;3,8;302
140;10;0;0;2,1;296
141;10,1;0;0;3,3;296
142;10,3;0;0;4,5;296
143;10,4;0;0;5,7;296
144;9,7;0;0;4,5;293
145;9,1;0;0;3,3;291
146;8,4;0;0;2,1;289
147;8,1;0;0;2,4;288
148;7,9;0;0;2,8;287
149;7,6;0;0;3,1;286
150;6,9;0;0;2,1;283
151;6,3;0;0;1;275
152;5,6;3;0;0;271
153;8,3;82;290;1,2;282
154;10,9;239;666;2,4;292
155;13,6;376;784;3,6;303
156;14,5;464;839;2,4;309
157;15,3;494;851;1,2;314
158;16,2;463;834;0;319
159;15,7;375;779;0;317
160;15,3;240;643;0;316
161;14,8;84;314;0;314
162;13,2;3;0;0;307
163;11,6;0;0;0;300
164;10;0;0;0;292
165;9,9;0;0;0,7;293
166;9,9;0;0;1,4;293
167;9,8;0;0;2,1;293
168;9,2;0;0;2,1;290
169;8,6;0;0;2,1;287
170;8;0;0;2,1;284
171;7,8;0;0;1,4;283
172;7,6;0;0;0,7;282
173;7,4;0;0;0;281
174;7,6;0;0;0;282
175;7,8;0;0;0;283
176;8;3;0;0;284
177;10,1;82;285;0,7;293
178;12,1;238;654;1,4;303
179;14,2;373;767;2,1;313
180;14,8;461;825;2,1;316
181;15,4;492;837;2,1;319
182;16;462;822;2,1;323
183;15,5;376;770;2,1;320
184;14,9;242;639;2,1;317
185;14,4;86;318;2,1;314
186;13,2;4;0;1,4;309
187;12;0;0;0,7;304
188;10,8;0;0;0;299
189;10,9;0;0;0;299
190;11,1;0;0;0;300
191;11,2;0;0;0;301
192;11,6;0;0;1,4;302
193;12;0;0;2,7;304
194;12,4;0;0;4,1;306
195;12,3;0;0;3,8;305
196;12,3;0;0;3,4;305
197;12,2;0;0;3,1;305
198;12,2;0;0;2,9;305
199;12,2;0;0;2,8;311
200;12,2;3;0;2,6;311
201;13,2;79;256;3,4;315
202;14,2;230;588;4,3;319
203;15,2;361;701;5,1;323
204;15,7;446;757;5,1;326
205;16,1;476;768;5,1;329
206;16,6;447;753;5,1;332
207;16,2;364;699;4,3;330
208;15,8;235;575;3,4;329
209;15,4;86;285;2,6;327
210;14,9;4;0;3,6;324
211;14,5;0;0;4,7;321
212;14;0;0;5,7;318
213;13,9;0;0;4,8;318
214;13,9;0;0;4;318
215;13,8;0;0;3,1;318
216;13,7;0;0;3,5;318
217;13,6;0;0;3,8;317
218;13,4;0;0;4,2;317
219;13,6;0;0;4,1;318
220;13,7;0;0;3,9;323
221;13,9;0;0;3,8;324
222;13,8;0;0;3,6;327
223;13,8;0;0;3,3;327
224;13,7;2;0;3,1;329
225;14,1;69;159;3,3;330
226;14,5;205;405;3,5;329
227;14,9;331;527;3,7;331
228;14,9;414;511;3,4;331
229;15;446;541;3;332
230;15;424;632;2,7;333
231;14,3;345;497;2;326
232;13,6;224;470;1,3;323
233;12,9;82;238;0,5;320
234;12,2;4;0;0,7;316
235;11,5;0;0;0,9;312
236;10,8;0;0;1,1;308
237;10,5;0;0;0,4;302
238;10,1;0;0;0;301
239;9,8;0;0;0;294
240;9,6;0;0;0;293
241;9,5;0;0;0;292
242;9,4;0;0;0;292
243;10,4;0;0;0,7;303
244;11,4;0;0;1,4;313
245;12,4;0;0;2,1;319
246;12,9;0;0;2,4;327
247;13,5;0;0;2,8;332
248;14;1;0;3,1;338
249;14,5;30;0;3,3;340
250;14,9;100;0;3,4;338
251;15,4;177;8;3,6;340
252;15,6;219;12;3,6;342
253;15,8;235;12;3,6;343
254;16;221;12;3,6;344
255;15,7;160;8;3,6;343
256;15,3;90;0;3,6;338
257;15;28;0;3,6;337
258;14,7;1;0;3,6;335
259;14,5;0;0;3,6;336
260;14,2;0;0;3,6;334
261;14,2;0;0;3,6;331
262;14,2;0;0;3,6;329
263;14,2;0;0;3,6;326
264;14,2;0;0;3,6;326
265;14,2;0;0;3,6;327
266;14,2;0;0;3,6;327
267;14,1;0;0;3,4;327
268;13,9;0;0;3,3;326
269;13,8;0;0;3,1;321
270;13,7;0;0;2,9;321
271;13,7;0;0;2,8;320
272;13,6;1;0;2,6;320
273;14,5;35;0;2,9;324
274;15,5;126;20;3,3;329
275;16,4;233;135;3,6;333
276;16,6;278;81;3,3;339
277;16,8;286;63;2,9;339
278;17;259;52;2,6;340
279;16,5;202;39;2,8;338
280;15,9;126;15;2,9;336
281;15,4;46;0;3,1;334
282;14,9;3;0;2,1;331
283;14,3;0;0;1;328
284;13,8;0;0;0;326
285;13,5;0;0;1,4;323
286;13,1;0;0;2,7;320
287;12,8;0;0;4,1;317
288;12,9;0;0;4,6;317
289;13,1;0;0;5,2;317
290;13,2;0;0;5,7;312
291;12,9;0;0;5,1;311
292;12,7;0;0;4,5;310
293;12,4;0;0;3,9;309
294;12,1;0;0;3,3;307
295;11,9;0;0;2,7;306
296;11,6;3;0;2,1;305
297;12,5;60;74;2,9;310
298;13,3;128;30;3,8;315
299;14,2;115;0;4,6;319
300;14,9;142;0;5,1;323
301;15,5;152;0;5,7;326
302;16,2;144;0;6,2;329
303;15,8;118;0;5,3;326
304;15,4;78;0;4,5;324
305;15;30;0;3,6;321
306;14,4;3;0;3,9;318
307;13,8;0;0;4,3;315
308;13,2;0;0;4,6;311
309;12,7;0;0;3,1;310
310;12,3;0;0;1,5;309
311;11,8;0;0;0;307
312;11,5;0;0;0,7;306
313;11,3;0;0;1,4;306
314;11;0;0;2,1;304
315;11,5;0;0;2,1;307
316;11,9;0;0;2,1;309
317;12,4;0;0;2,1;312
318;12,3;0;0;2,1;318
319;12,3;0;0;2,1;323
320;12,2;2;0;2,1;329
321;11,5;41;0;3,5;331
322;10,9;116;8;4,8;328
323;10,2;181;30;6,2;332
324;11,3;294;141;4,8;325
325;12,3;377;295;3,5;326
326;13,4;404;447;2,1;328
327;13,6;321;410;4,3;328
328;13,8;204;309;6,5;328
329;14;77;72;8,7;328
330;13,5;6;0;5,8;324
331;13,1;0;0;2,9;320
332;12,6;0;0;0;315
333;11,9;0;0;0;312
334;11,3;0;0;0;309
335;10,6;0;0;0;306
336;9,9;0;0;0;303
337;9,3;0;0;0;300
338;8,6;0;0;0;297
339;8,6;0;0;0,4;297
340;8,7;0;0;0,7;297
341;8,7;0;0;1;297
342;8,7;0;0;1,4;297
343;8,8;0;0;1,7;293
344;8,8;3;0;2,1;293
345;10,3;82;248;2,3;300
346;11,9;220;394;2,4;307
347;13,4;324;458;2,6;314
348;13,9;402;422;4,1;320
349;14,5;431;429;5,7;322
350;15;409;427;7,2;324
351;14,8;348;520;6,3;322
352;14,6;238;413;5,5;321
353;14,4;98;265;4,6;320
354;13,9;6;0;5,1;320
355;13,3;0;0;5,7;320
356;12,8;0;0;6,2;319
357;12,3;0;0;6,1;317
358;11,8;0;0;6;311
359;11,3;0;0;5,9;309
360;10,8;0;0;5,9;304
361;10,3;0;0;5,8;301
362;9,8;0;0;5,7;295
363;9,5;0;0;5,3;294
364;9,1;0;0;5;292
365;8,8;0;0;4,6;287
366;8,6;0;0;4,6;290
367;8,4;0;0;4,6;293
368;8,2;3;0;4,6;295
369;9,2;84;250;3,9;297
370;10,2;240;567;3,3;301
371;11,2;379;737;2,6;303
372;12,1;476;803;3,3;306
373;12,9;516;850;3,9;309
374;13,8;494;852;4,6;308
375;13,6;410;816;3,8;306
376;13,4;275;684;2,9;300
377;13,2;112;429;2,1;299
378;11,5;8;0;2,1;291
379;9,7;0;0;2,1;282
380;8;0;0;2,1;275
381;7,6;0;0;1,4;274
382;7,2;0;0;0,7;278
383;6,8;0;0;0;278
384;6,1;0;0;0;274
385;5,3;0;0;0;271
386;4,6;0;0;0;269
387;4,7;0;0;0;269
388;4,7;0;0;0;269
389;4,8;0;0;0;270
390;4,4;0;0;0;268
391;4;0;0;0;263
392;3,6;4;0;0;262
393;6,5;92;354;0;273
394;9,3;255;652;0;285
395;12,2;397;807;0;297
396;12,7;490;856;0;300
397;13,3;525;868;0;304
398;13,8;498;856;0;306
399;13,6;412;812;0;306
400;13,4;277;659;0;305
401;13,2;114;406;0;304
402;11,7;9;0;0;297
403;10,3;0;0;0;291
404;8,8;0;0;0;285
405;8;0;0;0;281
406;7,2;0;0;0;277
407;6,4;0;0;0;273
408;5,9;0;0;0;271
409;5,5;0;0;0;274
410;5;0;0;0;272
411;6,4;0;0;1,9;277
412;7,8;0;0;3,8;282
413;9,2;0;0;5,7;287
414;9,4;0;0;5,2;289
415;9,6;0;0;4,6;291
416;9,8;4;0;4,1;293
417;10,5;84;249;4,6;296
418;11,3;234;540;5,1;300
419;12;363;632;5,7;303
420;12,5;450;685;6,2;309
421;12,9;483;699;6,7;310
422;13,4;459;691;7,2;312
423;12,7;381;648;6,5;312
424;11,9;257;536;5,8;308
425;11,2;108;289;5,1;308
426;10,3;9;0;4,3;301
427;9,3;0;0;3,4;294
428;8,4;0;0;2,6;286
429;8,2;0;0;2,9;289
430;8;0;0;3,3;288
431;7,8;0;0;3,6;287
432;7,3;0;0;3,1;285
433;6,7;0;0;2,6;283
434;6,2;0;0;2,1;281
435;5,6;0;0;1,4;279
436;5;0;0;0,7;277
437;4,4;0;0;0;274
438;4,9;0;0;0;279
439;5,5;0;0;0;284
440;6;4;0;0;288
441;7,1;69;106;1,5;296
442;8,1;160;86;3,1;304
443;9,2;189;32;4,6;321
444;9,8;234;37;3,9;323
445;10,4;251;38;3,3;326
446;11;239;38;2,6;329
447;10,8;241;105;2,9;321
448;10,6;188;119;3,3;315
449;10,4;90;84;3,6;310
450;9,9;8;0;3,6;309
451;9,3;0;0;3,6;304
452;8,8;0;0;3,6;303
453;8,3;0;0;3,3;300
454;7,7;0;0;2,9;297
455;7,2;0;0;2,6;294
456;7,4;0;0;3,1;293
457;7,6;0;0;3,6;291
458;7,8;0;0;4,1;289
459;7,5;0;0;3,8;288
460;7,3;0;0;3,4;287
461;7;0;0;3,1;286
462;7,4;0;0;3,1;293
463;7,8;0;0;3,1;300
464;8,2;1;0;3,1;306
465;9;29;0;4,1;309
466;9,8;78;0;5,2;312
467;10,6;121;0;6,2;312
468;10,7;261;81;6,4;312
469;10,9;376;244;6,5;310
470;11;428;468;6,7;310
471;10,5;356;370;6;307
472;9,9;243;326;5,3;303
473;9,4;105;232;4,6;301
474;9;8;0;4,8;302
475;8,6;0;0;4,9;304
476;8,2;0;0;5,1;314
477;8,1;0;0;5,3;314
478;8,1;0;0;5,5;314
479;8;0;0;5,7;313
480;8;0;0;5;314
481;8;0;0;4,3;314
482;8;0;0;3,6;314
483;7,9;0;0;2,4;314
484;7,9;0;0;1,2;314
485;7,8;0;0;0;314
486;7,8;0;0;1,4;314
487;7,8;0;0;2,7;315
488;7,8;2;0;4,1;315
489;7,8;46;0;4,1;315
490;7,8;124;10;4,1;315
491;7,8;191;33;4,1;315
492;7,8;237;37;4,1;315
493;7,8;254;38;4,1;315
494;7,8;242;38;4,1;315
495;8,3;179;5;5;317
496;8,7;105;0;5,8;319
497;9,2;38;0;6,7;321
498;9,1;4;0;6,5;321
499;8,9;0;0;6,4;320
500;8,8;0;0;6,2;320
501;9;0;0;5;321
502;9,2;0;0;3,8;321
503;9,4;0;0;2,6;322
504;9,3;0;0;3,3;314
505;9,3;0;0;3,9;309
506;9,2;0;0;4,6;305
507;9,2;0;0;4,1;305
508;9,2;0;0;3,7;305
509;9,2;0;0;3,2;305
510;9,2;0;0;3,8;306
511;9,2;0;0;4,4;306
512;9,2;3;0;4,9;304
513;9,5;65;64;5;305
514;9,7;186;143;5;306
515;10;302;300;5,1;307
516;10,8;312;148;4,9;311
517;11,6;256;37;4,8;314
518;12,4;155;0;4,6;318
519;11,9;130;0;4,3;315
520;11,3;89;0;3,9;312
521;10,8;39;0;3,6;309
522;10,4;5;0;3,3;308
523;10;0;0;2,9;306
524;9,6;0;0;2,6;304
525;9,5;0;0;2,8;303
526;9,5;0;0;2,9;301
527;9,4;0;0;3,1;300
528;9,1;0;0;2,9;299
529;8,9;0;0;2,8;301
530;8,6;0;0;2,6;300
531;8,6;0;0;2,9;300
532;8,6;0;0;3,3;299
533;8,6;0;0;3,6;299
534;8,6;0;0;3,4;300
535;8,6;0;0;3,3;300
536;8,6;2;0;3,1;301
537;9,1;47;0;3,3;303
538;9,5;126;10;3,4;304
539;10;194;34;3,6;307
540;10,3;291;108;3,4;308
541;10,5;361;194;3,3;309
542;10,8;386;316;3,1;311
543;10,9;353;413;3,4;310
544;11,1;260;468;3,8;308
545;11,2;123;305;4,1;308
546;10,3;13;0;2,7;302
547;9,5;0;0;1,4;299
548;8,6;0;0;0;292
549;8,1;0;0;0;290
550;7,7;0;0;0;289
551;7,2;0;0;0;287
552;6;0;0;0;281
553;4,8;0;0;0;276
554;3,6;0;0;0;267
555;3,7;0;0;0;267
556;3,7;0;0;0;268
557;3,8;0;0;0;268
558;4,6;0;0;1,4;271
559;5,4;0;0;2,7;269
560;6,2;6;0;4,1;272
561;7,7;102;379;4,4;278
562;9,3;271;667;4,8;285
563;10,8;417;804;5,1;291
564;11,3;513;859;4,4;293
565;11,9;543;854;3,8;302
566;12,4;507;799;3,1;304
567;12,2;425;765;3,1;304
568;12;294;622;3,1;303
569;11,8;133;430;3,1;303
570;10,8;15;0;3,1;299
571;9,8;0;0;3,1;295
572;8,8;0;0;3,1;291
573;8,1;0;0;2,1;288
574;7,5;0;0;1;285
575;6,8;0;0;0;282
576;6,7;0;0;1;282
577;6,5;0;0;2,1;280
578;6,4;0;0;3,1;280
579;6,4;0;0;3,1;280
580;6,4;0;0;3,1;280
581;6,4;0;0;3,1;280
582;6;0;0;3,1;282
583;5,6;0;0;3,1;280
584;5,2;5;0;3,1;278
585;7;95;267;3,8;285
586;8,8;249;519;4,4;292
587;10,6;383;645;5,1;295
588;11,1;434;409;4,3;302
589;11,7;411;310;3,4;310
590;12,2;328;150;2,6;315
591;12,1;255;59;3,4;314
592;11,9;162;44;4,3;316
593;11,8;67;0;5,1;315
594;10,8;11;0;4,1;308
595;9,8;0;0;3,1;300
596;8,8;0;0;2,1;290
597;7,9;0;0;1,4;286
598;6,9;0;0;0,7;281
599;6;0;0;0;278
600;5,7;0;0;0;280
601;5,5;0;0;0;282
602;5,2;0;0;0;283
603;5,7;0;0;0;288
604;6,1;0;0;0;290
605;6,6;0;0;0;295
606;7,1;0;0;0;301
607;7,5;0;0;0;307
608;8;3;0;0;317
609;8,7;50;0;1;319
610;9,3;130;11;2,1;322
611;10;199;34;3,1;325
612;10,7;245;38;3,8;327
613;11,3;264;39;4,4;330
614;12;253;39;5,1;332
615;12;279;119;4,1;320
616;12;232;235;3,1;313
617;12;122;254;2,1;311
618;10,7;14;0;2,1;303
619;9,5;0;0;2,1;296
620;8,2;0;0;2,1;287
621;7,6;0;0;1,4;285
622;7;0;0;0,7;282
623;6,4;0;0;0;280
624;5,9;0;0;0;278
625;5,5;0;0;0;276
626;5;0;0;0;274
627;5;0;0;0;274
628;5;0;0;0;274
629;5;0;0;0;274
630;4,6;0;0;0;272
631;4,2;0;0;0;270
632;3,8;6;0;0;268
633;6,5;104;321;0;280
634;9,1;268;640;0;293
635;11,8;408;743;0;306
636;12,7;503;793;0,7;308
637;13,7;541;809;1,4;312
638;14,6;519;805;2,1;315
639;14,1;437;767;2,4;313
640;13,7;305;664;2,8;312
641;13,2;143;446;3,1;310
642;12,1;17;0;2,1;306
643;11,1;0;0;1;302
644;10;0;0;0;298
645;9,7;0;0;0;297
646;9,3;0;0;0;295
647;9;0;0;0;294
648;9,9;0;0;1,2;298
649;10,7;0;0;2,4;302
650;11,6;0;0;3,6;305
651;11,8;0;0;3,6;310
652;12;0;0;3,6;314
653;12,2;0;0;3,6;317
654;12,7;0;0;3,8;318
655;13,1;0;0;3,9;318
656;13,6;3;0;4,1;317
657;13,9;51;0;4,3;323
658;14,3;131;10;4,4;330
659;14,6;200;32;4,6;335
660;14,5;246;36;5,1;334
661;14,3;264;37;5,7;336
662;14,2;253;36;6,2;336
663;14,1;214;33;6,2;335
664;14,1;150;25;6,2;335
665;14;71;1;6,2;334
666;13,8;9;0;6,2;333
667;13,6;0;0;6,2;332
668;13,4;0;0;6,2;332
669;13,5;0;0;6,4;331
670;13,7;0;0;6,5;328
671;13,8;0;0;6,7;328
672;13,5;0;0;6,7;327
673;13,1;0;0;6,7;323
674;12,8;0;0;6,7;322
675;12,4;0;0;6,4;319
676;12;0;0;6;319
677;11,6;0;0;5,7;317
678;11,4;0;0;5,5;313
679;11,2;0;0;5,3;310
680;11;4;0;5,1;306
681;11,7;69;49;4,6;308
682;12,3;210;262;4,1;311
683;13;361;441;3,6;310
684;13,7;459;569;3,6;316
685;14,5;508;642;3,6;322
686;15,2;500;689;3,6;328
687;14,9;359;350;3,1;326
688;14,5;187;101;2,6;324
689;14,2;47;0;2,1;323
690;13,5;6;0;2,3;317
691;12,7;0;0;2,4;313
692;12;0;0;2,6;306
693;11,7;0;0;3,6;313
694;11,3;0;0;4,7;319
695;11;0;0;5,7;324
696;10,7;0;0;5;322
697;10,3;0;0;4,3;320
698;10;0;0;3,6;314
699;9,2;0;0;3,3;310
700;8,4;0;0;2,9;306
701;7,6;0;0;2,6;301
702;8,4;0;0;4,1;302
703;9,2;0;0;5,7;306
704;10;7;0;7,2;307
705;10,2;93;188;6,2;310
706;10,4;223;270;5,1;310
707;10,6;322;314;4,1;313
708;11,2;331;148;3,9;313
709;11,8;272;38;3,8;315
710;12,4;166;1;3,6;315
711;12,3;141;0;3,6;314
712;12,1;100;0;3,6;312
713;12;48;0;3,6;310
714;11,1;7;0;3,8;308
715;10,1;0;0;3,9;305
716;9,2;0;0;4,1;302
717;8,9;0;0;4,8;298
718;8,5;0;0;5,5;295
719;8,2;0;0;6,2;290
720;7,9;0;0;6;297
721;7,7;0;0;5,9;303
722;7,4;0;0;5,7;314
723;6,8;0;0;5,2;304
724;6,2;0;0;4,6;301
725;5,6;0;0;4,1;294
726;6;0;0;5;300
727;6,4;0;0;5,8;301
728;6,8;4;0;6,7;309
729;7,3;56;0;5,8;305
730;7,7;137;11;5;308
731;8,2;207;34;4,1;306
732;8,7;225;6;4,4;304
733;9,1;209;3;4,8;301
734;9,6;167;1;5,1;298
735;9,6;142;0;4,6;301
736;9,6;101;0;4,1;303
737;9,6;49;0;3,6;305
738;8,9;8;0;3,8;302
739;8,1;0;0;3,9;298
740;8;0;0;4,1;297
741;7,8;0;0;4,1;297
742;7,9;0;0;4,1;300
743;8,1;0;0;4,1;301
744;8,5;0;0;4,8;307
745;8,9;0;0;5,1;295
746;9,2;0;0;6,2;291
747;9,3;0;0;5,1;295
748;9,1;0;0;8,2;293
749;8,7;0;0;4,1;291
750;8,4;0;0;3,1;289
751;8;0;0;6,2;291
752;9,6;6;0;7,7;300
753;9;75;46;10,3;296
754;10;183;82;5,1;304
755;12,2;277;132;8,2;313
756;12;339;137;9,3;313
757;12;365;138;9,3;310
758;13,2;351;138;14,4;314
759;12;297;133;5,1;314
760;12;212;121;9,3;317
761;11,6;104;55;8,7;316
762;11;14;0;5,1;313
763;11;0;0;5,1;313
764;10,8;0;0;6,2;315
765;8;0;0;5,1;310
766;7;0;0;8,2;304
767;7;0;0;8,2;304
768;7;0;0;6,6;303
769;7;0;0;5,1;308
770;6,8;0;0;5,1;308
771;7;0;0;5,1;301
772;6;0;0;5,1;291
773;6;0;0;9,3;287
774;6;0;0;5,1;284
775;6;0;0;5,1;282
776;5,8;9;0;5,1;278
777;6;107;244;4,1;278
778;7;211;152;5,1;282
779;7,8;213;22;6,2;285
780;7,9;289;43;5,6;286
781;8;340;59;5,1;282
782;9;352;156;4,1;282
783;9;300;133;4,1;282
784;10;214;120;2,1;286
785;9,8;107;56;3,1;287
786;8;19;0;4,1;279
787;7;0;0;5,1;275
788;7,2;0;0;2,1;276
789;7;0;0;2,6;275
790;6;0;0;0;271
791;6;0;0;0;273
792;6;0;0;0;271
793;6;0;0;0;277
794;6,4;0;0;0;281
795;6;0;0;2,1;278
796;6;0;0;2,1;278
797;6,6;0;0;0;283
798;6;0;0;2,1;279
799;7;0;0;2,6;283
800;7,6;5;0;2,1;288
801;8;66;12;2,1;289
802;10;172;62;0;298
803;12;277;130;3,1;309
804;12;407;296;0;308
805;13;495;463;3,1;312
806;15,8;517;636;0;326
807;15;450;693;0;322
808;17;328;644;5,1;330
809;14,8;168;479;0;320
810;13;25;21;0;311
811;12;0;0;4,1;307
812;12,2;0;0;6,2;308
813;11;0;0;6,2;303
814;11;0;0;6,2;303
815;11,2;0;0;5,1;303
816;11;0;0;5,1;302
817;11;0;0;5,1;302
818;9,4;0;0;2,1;295
819;8;0;0;3,1;287
820;8;0;0;5,1;282
821;9;0;0;0;287
822;6;0;0;0;281
823;7;0;0;0;290
824;7,6;5;0;2,1;300
825;8;61;0;0;299
826;10;144;12;0;303
827;11,6;214;34;0;304
828;12;291;69;2,1;305
829;12;342;92;0;306
830;14,4;355;137;2,6;317
831;13;280;98;5,1;310
832;13;185;58;2,1;309
833;13,6;85;5;0;312
834;12;14;0;2,1;305
835;11;0;0;4,1;301
836;11,6;0;0;2,1;306
837;11;0;0;0;304
838;11;0;0;0;307
839;11,2;0;0;0;307
840;11;0;0;0;305
841;10;0;0;0;300
842;10;0;0;0;302
843;10;0;0;0;300
844;10;0;0;0;302
845;9,8;0;0;0;298
846;9;0;0;0;293
847;9;0;0;0;294
848;9,6;6;0;0;297
849;10;62;0;2,1;303
850;12;145;12;2,1;312
851;14;216;33;4,1;322
852;13;263;37;5,1;326
853;13;283;51;5,1;333
854;13,8;272;37;5,1;349
855;13;219;13;2,1;339
856;13;148;6;2,1;338
857;13;71;0;2,1;333
858;13;11;0;0;333
859;13;0;0;2,1;333
860;13;0;0;2,1;334
861;12;0;0;3,1;328
862;12;0;0;2,1;325
863;13;0;0;0;327
864;12;0;0;0;322
865;12;0;0;2,1;325
866;12,8;0;0;0;330
867;12;0;0;0;325
868;11;0;0;0;318
869;12,2;0;0;0;325
870;11;0;0;0;321
871;11;0;0;0;324
872;11,6;6;0;0;327
873;12;63;0;0;329
874;13;146;12;0;335
875;14,8;217;33;3,1;343
876;13;370;189;2,1;332
877;13;485;402;2,1;327
878;16,6;528;584;2,1;337
879;14;469;747;2,1;325
880;14;349;698;2,1;324
881;15,8;184;518;2,1;329
882;13;31;99;2,1;316
883;12;0;0;0;311
884;12;0;0;0;311
885;10;0;0;0;301
886;10;0;0;0;301
887;11,2;0;0;0;307
888;11;0;0;0;305
889;9;0;0;0;296
890;9,2;0;0;0;297
891;9;0;0;0;296
892;9;0;0;0;295
893;9;0;0;0;296
894;8;0;0;0;290
895;8;0;0;0;290
896;8,4;13;0;0;293
897;10;132;282;0;302
898;12;286;465;2,1;310
899;14;389;444;3,1;320
900;13;458;429;2,1;314
901;14;471;365;2,1;319
902;15,8;432;306;2,1;328
903;14;370;268;4,1;320
904;14;268;246;5,1;320
905;14,6;140;198;3,1;323
906;13;26;14;2,6;320
907;12;0;0;3,1;320
908;12,8;0;0;3,1;328
909;12;0;0;2,6;323
910;12;0;0;3,1;321
911;12,2;0;0;2,6;323
912;11;0;0;2,6;313
913;11;0;0;2,1;310
914;11,4;0;0;2,1;308
915;9,7;0;0;1;310
916;8;0;0;0;305
917;11;0;0;2,1;338
918;10;0;0;0;319
919;9;0;0;0;307
920;9,8;10;0;0;310
921;11;117;186;0;313
922;12;290;496;0;319
923;14,4;451;697;2,1;327
924;14;549;782;2,1;324
925;14;589;812;2,1;324
