,electricity,dhw,heating
2017-01-01 00:00:00+00:00,0.01224624931836785,0.0,0.024329547980000005
2017-01-01 01:00:00+00:00,0.012110232656543513,0.0008715000000000001,0.026520147980000006
2017-01-01 02:00:00+00:00,0.01259866821915926,0.0017430000000000002,0.028107747980000004
2017-01-01 03:00:00+00:00,0.01603418614450775,0.012336683857473985,0.032002537675515606
2017-01-01 04:00:00+00:00,0.021334742899157603,0.03850370093897354,0.06374279601661588
2017-01-01 05:00:00+00:00,0.07555748402548317,0.1147171825033815,0.1077120036579711
2017-01-01 06:00:00+00:00,0.07826842105758053,0.15138878849044377,0.16955036523573375
2017-01-01 07:00:00+00:00,0.08807685649558311,0.12086134956111208,0.15229472787333276
2017-01-01 08:00:00+00:00,0.07456664498142909,0.09173817789740801,0.14870752876155519
2017-01-01 09:00:00+00:00,0.059882153929562115,0.08412155641044952,0.15619985554373028
2017-01-01 10:00:00+00:00,0.09309456372602391,0.06441082088882683,0.11169554192670392
2017-01-01 11:00:00+00:00,0.08796756750108198,0.048267814273421604,0.10415549319594704
2017-01-01 12:00:00+00:00,0.07278423881405148,0.060559484889807794,0.11551777046611533
2017-01-01 13:00:00+00:00,0.06208282063919516,0.07209545552181876,0.12804495701690874
2017-01-01 14:00:00+00:00,0.05100703912221252,0.04078052496562576,0.12849362546062454
2017-01-01 15:00:00+00:00,0.049092330163007014,0.037084740905128574,0.13151726249692286
2017-01-01 16:00:00+00:00,0.054258093406985064,0.028989548449162066,0.12408033750050276
2017-01-01 17:00:00+00:00,0.06620502784094161,0.040538941188828725,0.11785609761670277
2017-01-01 18:00:00+00:00,0.07038309853334901,0.025663309153767938,0.10884427025773924
2017-01-01 19:00:00+00:00,0.06524620133848597,0.03081973222810841,0.11733906112313496
2017-01-01 20:00:00+00:00,0.05443343621826426,0.030520413665799953,0.11369951685052003
2017-01-01 21:00:00+00:00,0.03235606113888045,0.00398531969734851,0.0326918561665909
2017-01-01 22:00:00+00:00,0.017924679177337977,0.0010447222383276247,0.028928714637003423
2017-01-01 23:00:00+00:00,0.01304126242293172,0.00010344940791836169,0.03602597833524898
2017-01-02 00:00:00+00:00,0.012715330573166529,0.0,0.03990704799
2017-01-02 01:00:00+00:00,0.012925021147816134,0.0013072500000000003,0.042640198000000004
2017-01-02 02:00:00+00:00,0.014172604760400186,0.0013072500000000003,0.04304219799999999
2017-01-02 03:00:00+00:00,0.017299984038769596,0.007553000000000001,0.045023248
2017-01-02 04:00:00+00:00,0.022921222914311486,0.049312375,0.08139898664
2017-01-02 05:00:00+00:00,0.06450200956071073,0.1250661949978632,0.1352608220312821
2017-01-02 06:00:00+00:00,0.07865267702839904,0.1362292337985486,0.17914995217087087
2017-01-02 07:00:00+00:00,0.048446181890041094,0.0961869524139512,0.19410594688162927
2017-01-02 08:00:00+00:00,0.04324071671826793,0.0567742156424707,0.16898051035451758
2017-01-02 09:00:00+00:00,0.07014245036174963,0.022378219867169986,0.17117704711969797
2017-01-02 10:00:00+00:00,0.08325434374824797,0.00847952499010746,0.15553280803593553
2017-01-02 11:00:00+00:00,0.081470815807112,0.01832271177490332,0.145092208915058
2017-01-02 12:00:00+00:00,0.07579742455033084,0.02704770737414499,0.143182648735513
2017-01-02 13:00:00+00:00,0.07249178056878448,0.042239108761664756,0.15724509731300115
2017-01-02 14:00:00+00:00,0.07593732012825583,0.03946633368906585,0.15729642917656048
2017-01-02 15:00:00+00:00,0.07513309089069596,0.046269575305704906,0.16006690019657704
2017-01-02 16:00:00+00:00,0.09883624109169484,0.07200354670153028,0.14845580865908184
2017-01-02 17:00:00+00:00,0.1238753303230923,0.05922649076920392,0.12579002434847764
2017-01-02 18:00:00+00:00,0.1123409959099301,0.0332862682359437,0.12603699268843377
2017-01-02 19:00:00+00:00,0.10036940557078806,0.03690759173604729,0.12819734398837163
2017-01-02 20:00:00+00:00,0.0894195727159172,0.02059117926924029,0.11712763100845583
2017-01-02 21:00:00+00:00,0.06075503013491307,0.0023345174326634445,0.048757337530401935
2017-01-02 22:00:00+00:00,0.016325460144001117,0.0,0.019405047980000003
2017-01-02 23:00:00+00:00,0.01501326752252124,0.0017430000000000002,0.018861747980000003
2017-01-03 00:00:00+00:00,0.014984746289335063,0.00043575000000000005,0.020148597980000002
2017-01-03 01:00:00+00:00,0.01341244692976287,0.0008715000000000001,0.022600647980000003
2017-01-03 02:00:00+00:00,0.01380933599726624,0.0032296482588876907,0.02631125902466739
2017-01-03 03:00:00+00:00,0.018281314506184497,0.010315400959105523,0.029195307404536693
2017-01-03 04:00:00+00:00,0.025439417563113485,0.06673168681118764,0.06974762849328742
2017-01-03 05:00:00+00:00,0.05875393829284959,0.10375745339156703,0.11156770594505981
2017-01-03 06:00:00+00:00,0.06646355728791027,0.13334412669107182,0.17271857972535692
2017-01-03 07:00:00+00:00,0.050276531567822864,0.08297380556808209,0.16958562980915076
2017-01-03 08:00:00+00:00,0.04772118555853672,0.03877989908008683,0.14501116617194793
2017-01-03 09:00:00+00:00,0.07646830072097263,0.026069258461253495,0.1447774263132479
2017-01-03 10:00:00+00:00,0.07890407162257498,0.01438419506989046,0.1381844031780657
2017-01-03 11:00:00+00:00,0.0832518741638201,0.027062867831169617,0.1288640955112982
2017-01-03 12:00:00+00:00,0.0815287801354016,0.02548509471062141,0.12376450997362717
2017-01-03 13:00:00+00:00,0.07879311389692562,0.036351107937152904,0.13165512979770827
2017-01-03 14:00:00+00:00,0.07736847138849937,0.04824988033617504,0.14053842730829497
