Ts_in,Te_start,Te_end,a,d,e,f,g
30,-20,-15,0.1,0.0,0.0,0.0,3.6
30,-15,-10,0.07999999999999999,0.0,0.0,0.0,3.3
30,-10,-5,0.07999999999999999,0.0,0.0,0.0,3.3
30,-5,0,0.11000000000000006,0.0,0.0,0.0,3.45
30,0,5,0.05999999999999996,0.0,0.0,0.0,3.45
30,5,6,0.1499999999999999,0.0,0.0,0.0,3.0000000000000004
30,6,7,0.19999999999999973,0.0,0.0,0.0,2.7000000000000015
30,7,8,0.10000000000000053,0.0,0.0,0.0,3.399999999999996
30,8,9,0.20000000000000018,0.0,0.0,0.0,2.5999999999999988
30,9,10,0.09999999999999964,0.0,0.0,0.0,3.5000000000000036
30,10,11,0.20000000000000018,0.0,0.0,0.0,2.4999999999999982
30,11,12,0.09999999999999964,0.0,0.0,0.0,3.600000000000004
30,12,13,0.20000000000000018,0.0,0.0,0.0,2.3999999999999977
30,13,15,0.04999999999999982,0.0,0.0,0.0,4.350000000000002
30,15,20,0.060000000000000143,0.0,0.0,0.0,4.1999999999999975
30,20,25,0.1,0.0,0.0,0.0,3.4000000000000004
30,25,30,0.1,0.0,0.0,0.0,3.4000000000000004
30,30,35,0.05999999999999996,0.0,0.0,0.0,4.600000000000001
35,-7,-6,0.08499999999999996,0.0,0.0,0.0,3.0999999999999996
35,-6,-5,0.08500000000000002,0.0,0.0,0.0,3.0999999999999996
35,-5,-4,0.10750000000000007,0.0,0.0,0.0,3.2125000000000004
35,-4,-3,0.095,0.0,0.0,0.0,3.1625
35,-3,-2,0.09500000000000011,0.0,0.0,0.0,3.1625000000000005
35,-2,-1,0.095,0.0,0.0,0.0,3.1625000000000005
35,-1,0,0.095,0.0,0.0,0.0,3.1625000000000005
35,0,1,0.05750000000000004,0.0,0.0,0.0,3.1625000000000005
35,1,2,0.06999999999999999,0.0,0.0,0.0,3.1500000000000004
35,2,3,0.057499999999999926,0.0,0.0,0.0,3.1750000000000007
35,3,4,0.057499999999999926,0.0,0.0,0.0,3.1750000000000007
35,4,5,0.05750000000000004,0.0,0.0,0.0,3.175
35,5,6,0.13749999999999996,0.0,0.0,0.0,2.7750000000000004
35,6,7,0.19999999999999973,0.0,0.0,0.0,2.4000000000000017
35,7,8,0.08750000000000047,0.0,0.0,0.0,3.1874999999999964
35,8,9,0.1625000000000001,0.0,0.0,0.0,2.5874999999999995
35,9,10,0.12499999999999978,0.0,0.0,0.0,2.9250000000000025
35,10,11,0.16250000000000014,0.0,0.0,0.0,2.549999999999999
35,11,12,0.08749999999999973,0.0,0.0,0.0,3.3750000000000027
35,12,13,0.16250000000000014,0.0,0.0,0.0,2.4749999999999983
35,13,15,0.049999999999999864,0.0,0.0,0.0,3.9375000000000018
35,15,20,0.0600000000000001,0.0,0.0,0.0,3.7874999999999983
